,ECG,PPG
0,-861,-596
1,-868,-666
2,-700,-629
3,-674,-686
4,-587,-715
5,-470,-727
6,-354,-736
7,-279,-752
8,-249,-764
9,-263,-764
10,-330,-762
11,-441,-764
12,-562,-766
13,-662,-765
14,-740,-764
15,-799,-764
16,-842,-765
17,-866,-764
18,-883,-764
19,-893,-765
20,-897,-763
21,-891,-757
22,-888,-747
23,-892,-731
24,-922,-713
25,-977,-694
26,-1073,-678
27,-1187,-666
28,-1307,-662
29,-1398,-662
30,-1466,-673
31,-1507,-688
32,-1559,-712
33,-1622,-736
34,-1727,-765
35,-1851,-791
36,-2005,-821
37,-2151,-845
38,-2310,-875
39,-2447,-900
40,-2585,-930
41,-2686,-954
42,-2781,-984
43,-2844,-1009
44,-2917,-1040
45,-2982,-1063
46,-3081,-1087
47,-3195,-1105
48,-3343,-1123
49,-3485,-1135
50,-3624,-1149
51,-3724,-1159
52,-3795,-1167
53,-3829,-1164
54,-3861,-1156
55,-3897,-1140
56,-3959,-1124
57,-4033,-1108
58,-4113,-1095
59,-4175,-1080
60,-4218,-1061
61,-4239,-1032
62,-4255,-999
63,-4275,-965
64,-4315,-938
65,-4374,-920
66,-4460,-916
67,-4554,-921
68,-4656,-937
69,-4739,-957
70,-4802,-985
71,-4821,-1014
72,-4822,-1052
73,-4795,-1091
74,-4783,-1139
75,-4767,-1186
76,-4788,-1240
77,-4799,-1289
78,-4821,-1344
79,-4779,-1393
80,-4702,-1449
81,-4536,-1496
82,-4358,-1544
83,-4152,-1578
84,-4022,-1608
85,-3929,-1622
86,-3922,-1635
87,-3910,-1637
88,-3921,-1638
89,-3894,-1631
90,-3892,-1623
91,-3898,-1604
92,-3983,-1584
93,-4123,-1556
94,-4340,-1531
95,-4574,-1500
96,-4827,-1470
97,-5044,-1434
98,-5224,-1397
99,-5333,-1354
100,-5404,-1310
101,-5440,-1265
102,-5477,-1224
103,-5509,-1186
104,-5562,-1156
105,-5620,-1131
106,-5676,-1115
107,-5713,-1102
108,-5723,-1097
109,-5729,-1092
110,-5708,-1092
111,-5695,-1092
112,-5676,-1097
113,-5676,-1103
114,-5692,-1116
115,-5698,-1131
116,-5723,-1153
117,-5718,-1175
118,-5729,-1202
119,-5709,-1226
120,-5735,-1253
121,-5757,-1273
122,-5822,-1292
123,-5797,-1300
124,-5641,-1303
125,-5141,-1290
126,-4239,-1269
127,-2821,-1234
128,-1054,-1194
129,868,-1143
130,2507,-1093
131,3543,-1037
132,3668,-985
133,2916,-928
134,1461,-874
135,-282,-819
136,-1985,-766
137,-3370,-709
138,-4407,-655
139,-5130,-599
140,-5667,-548
141,-6052,-497
142,-6313,-454
143,-6408,-415
144,-6364,-383
145,-6212,-355
146,-6058,-333
147,-5941,-314
148,-5921,-298
149,-5948,-284
150,-6021,-270
151,-6079,-255
152,-6125,-240
153,-6145,-229
154,-6147,-223
155,-6134,-225
156,-6117,-234
157,-6084,-249
158,-6069,-266
159,-6040,-284
160,-6040,-297
161,-6019,-302
162,-6025,-298
163,-6001,-286
164,-6007,-264
165,-5984,-233
166,-5993,-194
167,-5972,-152
168,-5976,-108
169,-5949,-63
170,-5943,-18
171,-5908,27
172,-5893,78
173,-5848,139
174,-5813,207
175,-5746,277
176,-5683,346
177,-5591,408
178,-5504,462
179,-5392,508
180,-5279,546
181,-5138,579
182,-4986,604
183,-4806,624
184,-4617,637
185,-4402,645
186,-4180,650
187,-3936,653
188,-3684,657
189,-3410,662
190,-3134,672
191,-2855,688
192,-2591,707
193,-2335,725
194,-2105,741
195,-1887,753
196,-1694,760
197,-1507,763
198,-1348,765
199,-1205,764
200,-1104,765
201,-1024,764
202,-997,765
203,-1001,764
204,-1054,765
205,-1115,764
206,-1207,766
207,-1291,765
208,-1391,764
209,-1468,757
210,-1559,748
211,-1632,730
212,-1712,709
213,-1765,683
214,-1815,657
215,-1838,628
216,-1853,601
217,-1845,573
218,-1834,547
219,-1810,519
220,-1785,492
221,-1754,464
222,-1726,437
223,-1695,409
224,-1668,383
225,-1641,354
226,-1612,327
227,-1579,299
228,-1542,274
229,-1502,252
230,-1463,235
231,-1422,224
232,-1385,220
233,-1350,217
234,-1317,218
235,-1278,218
236,-1238,219
237,-1192,218
238,-1146,218
239,-1097,218
240,-1058,219
241,-1025,218
242,-1003,218
243,-980,220
244,-963,224
245,-940,229
246,-920,236
247,-891,243
248,-869,253
249,-842,263
250,-825,276
251,-801,291
252,-787,306
253,-770,317
254,-761,323
255,-746,321
256,-740,314
257,-735,298
258,-741,277
259,-746,249
260,-758,216
261,-765,176
262,-771,135
263,-771,96
264,-773,61
265,-771,28
266,-772,-1
267,-771,-29
268,-772,-53
269,-771,-71
270,-772,-78
271,-777,-69
272,-788,-44
273,-801,-8
274,-819,36
275,-837,79
276,-855,119
277,-868,153
278,-881,186
279,-892,220
280,-906,260
281,-916,300
282,-929,342
283,-941,377
284,-954,405
285,-958,422
286,-963,432
287,-964,435
288,-969,438
289,-970,436
290,-981,438
291,-994,436
292,-1016,438
293,-1031,436
294,-1045,437
295,-1048,435
296,-1048,439
297,-1037,442
298,-1029,454
299,-1019,470
300,-1016,493
301,-1012,517
302,-1014,546
303,-1013,575
304,-1013,611
305,-1007,650
306,-998,701
307,-981,759
308,-966,829
309,-953,903
310,-948,983
311,-947,1063
312,-948,1146
313,-945,1227
314,-937,1310
315,-923,1391
316,-911,1475
317,-905,1555
318,-905,1639
319,-903,1718
320,-898,1798
321,-886,1867
322,-870,1931
323,-850,1978
324,-836,2017
325,-825,2039
326,-823,2058
327,-819,2064
328,-821,2073
329,-820,2072
330,-820,2078
331,-814,2073
332,-806,2078
333,-790,2073
334,-771,2078
335,-748,2073
336,-726,2078
337,-706,2073
338,-691,2078
339,-682,2073
340,-678,2077
341,-676,2073
342,-677,2077
343,-677,2075
344,-675,2082
345,-665,2084
346,-644,2093
347,-609,2098
348,-564,2109
349,-509,2118
350,-448,2132
351,-371,2149
352,-268,2172
353,-118,2195
354,78,2220
355,306,2244
356,528,2266
357,710,2280
358,824,2287
359,873,2281
360,876,2262
361,860,2227
362,835,2183
363,798,2129
364,726,2071
365,610,2001
366,444,1925
367,245,1837
368,32,1746
369,-170,1646
370,-349,1548
371,-490,1442
372,-595,1335
373,-658,1214
374,-691,1097
375,-695,980
376,-690,885
377,-682,800
378,-681,737
379,-683,678
380,-688,628
381,-698,569
382,-694,517
383,-695,464
384,-672,425
385,-666,388
386,-646,363
387,-643,336
388,-646,309
389,-658,274
390,-680,237
391,-701,198
392,-729,162
393,-762,124
394,-813,85
395,-869,43
396,-907,-4
397,-841,-56
398,-552,-110
399,108,-164
400,1244,-218
401,2852,-272
402,4764,-328
403,6658,-382
404,8134,-438
405,8860,-491
406,8674,-546
407,7671,-600
408,6131,-658
409,4427,-717
410,2856,-783
411,1582,-850
412,609,-921
413,-124,-986
414,-689,-1047
415,-1096,-1095
416,-1342,-1138
417,-1408,-1171
418,-1342,-1203
419,-1199,-1229
420,-1076,-1256
421,-1008,-1276
422,-1015,-1294
423,-1065,-1303
424,-1119,-1310
425,-1175,-1311
426,-1185,-1312
427,-1201,-1310
428,-1170,-1311
429,-1153,-1310
430,-1107,-1311
431,-1072,-1310
432,-1029,-1310
433,-1002,-1310
434,-980,-1310
435,-971,-1310
436,-966,-1310
437,-963,-1310
438,-965,-1310
439,-970,-1310
440,-983,-1310
441,-1003,-1310
442,-1025,-1310
443,-1050,-1310
444,-1065,-1311
445,-1069,-1310
446,-1058,-1311
447,-1040,-1310
448,-1014,-1312
449,-985,-1310
450,-948,-1312
451,-906,-1310
452,-851,-1312
453,-786,-1308
454,-708,-1307
455,-624,-1302
456,-528,-1299
457,-423,-1283
458,-307,-1263
459,-182,-1223
460,-46,-1175
461,101,-1108
462,259,-1045
463,430,-983
464,607,-937
465,792,-897
466,968,-870
467,1130,-843
468,1265,-820
469,1379,-791
470,1467,-765
471,1537,-738
472,1587,-715
473,1621,-693
474,1627,-678
475,1601,-666
476,1541,-660
477,1451,-656
478,1334,-655
479,1197,-654
480,1045,-655
481,887,-655
482,725,-655
483,567,-655
484,419,-655
485,289,-655
486,178,-656
487,82,-655
488,1,-654
489,-69,-648
490,-127,-639
491,-176,-622
492,-212,-604
493,-237,-585
494,-252,-571
495,-268,-558
496,-278,-550
497,-285,-540
498,-284,-530
499,-285,-512
500,-277,-490
501,-267,-464
502,-253,-438
